,Conversion Factor,CTD CUSIP,Futures Ticker,CTD Price,CTD ID,Futures ID,CTD Coupon Frequency,CTD Maturity Date,CTD Day Count,CTD Issue Date,CTD Interest Accrual Start,CTD Coupon,CTD Settlement Year/Month
30-Nov-2009,0.8736,EH986306,IKZ09,117.06,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
1-Dec-2009,0.8736,EH986306,IKZ09,117.38,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
2-Dec-2009,0.8736,EH986306,IKZ09,117.5,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
3-Dec-2009,0.8736,EH986306,IKZ09,117.43,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
4-Dec-2009,0.8736,EH986306,IKZ09,117.28,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
9-Dec-2009,0.875919,EH986306,IKH10,115.84,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
10-Dec-2009,0.875919,EH986306,IKH10,115.67,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
11-Dec-2009,0.875919,EH986306,IKH10,115.65,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
14-Dec-2009,0.875919,EH986306,IKH10,115.85,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
15-Dec-2009,0.875919,EH986306,IKH10,115.62,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
16-Dec-2009,0.875919,EH986306,IKH10,115.92,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
17-Dec-2009,0.875919,EH986306,IKH10,116.32,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
18-Dec-2009,0.875919,EH986306,IKH10,116.22,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
21-Dec-2009,0.875919,EH986306,IKH10,115.76,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
22-Dec-2009,0.875919,EH986306,IKH10,115.77,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
23-Dec-2009,0.875919,EH986306,IKH10,115.73,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
28-Dec-2009,0.875919,EH986306,IKH10,115.42,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
29-Dec-2009,0.875919,EH986306,IKH10,115.07,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
30-Dec-2009,0.875919,EH986306,IKH10,114.78,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
4-Jan-2010,0.875919,EH986306,IKH10,115.22,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
5-Jan-2010,0.875919,EH986306,IKH10,115.25,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
6-Jan-2010,0.875919,EH986306,IKH10,115.11,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
7-Jan-2010,0.875919,EH986306,IKH10,115.38,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
8-Jan-2010,0.875919,EH986306,IKH10,115.55,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
11-Jan-2010,0.875919,EH986306,IKH10,115.74,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
12-Jan-2010,0.875919,EH986306,IKH10,115.78,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
13-Jan-2010,0.875919,EH986306,IKH10,115.49,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
14-Jan-2010,0.875919,EH986306,IKH10,115.41,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
15-Jan-2010,0.875919,EH986306,IKH10,115.6,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
18-Jan-2010,0.875919,EH986306,IKH10,115.82,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
19-Jan-2010,0.875919,EH986306,IKH10,115.8,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
20-Jan-2010,0.875919,EH986306,IKH10,115.72,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
21-Jan-2010,0.875919,EH986306,IKH10,115.63,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
22-Jan-2010,0.875919,EH986306,IKH10,115.72,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
25-Jan-2010,0.875919,EH986306,IKH10,116.03,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
26-Jan-2010,0.875919,EH986306,IKH10,116.26,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
27-Jan-2010,0.875919,EH986306,IKH10,115.72,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
28-Jan-2010,0.875919,EH986306,IKH10,115.17,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
29-Jan-2010,0.875919,EH986306,IKH10,115.45,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
1-Feb-2010,0.875919,EH986306,IKH10,116.02,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
2-Feb-2010,0.875919,EH986306,IKH10,115.99,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
3-Feb-2010,0.875919,EH986306,IKH10,115.79,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
4-Feb-2010,0.875919,EH986306,IKH10,115.96,EH986306 Govt,IKH10 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,10-Mar-2016
